X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
3.37707,0.000509041,,3.37707,0.00209429
3.37723,0.000331338,,3.37723,0.00137095
3.37739,0.000140901,,3.37739,0.000591085
3.37754,-5.49502e-05,,3.37754,-0.000216159
3.3777,-0.00024869,,3.3777,-0.00101994
3.37786,-0.000432873,,3.37786,-0.00178884
3.37801,-0.00060042,,3.37801,-0.0024922
3.37817,-0.000744894,,3.37817,-0.0031014
3.37832,-0.000860742,,3.37832,-0.00359123
3.37848,-0.000943512,,3.37848,-0.00394117
3.37864,-0.000990024,,3.37864,-0.00413638
3.37879,-0.000998489,,3.37879,-0.00416853
3.37895,-0.000968583,,3.37895,-0.00403625
3.37911,-0.000901455,,3.37911,-0.00374521
3.37926,-0.000799685,,3.37926,-0.00330778
3.37942,-0.000667183,,3.37942,-0.00274238
3.37957,-0.000509041,,3.37957,-0.00207255
